Date,Kilometers
1962-01,58.9
1962-02,56.1
1962-03,64
1962-04,65.6
1962-05,72.7
1962-06,69.7
1962-07,64
1962-08,59.9
1962-09,56.8
1962-10,57.7
1962-11,55.3
1962-12,58.2
1963-01,60
1963-02,56.6
1963-03,65.3
1963-04,67.3
1963-05,74.2
1963-06,71.6
1963-07,66
1963-08,61.7
1963-09,58.3
1963-10,58.7
1963-11,56.5
1963-12,59.8
1964-01,62.8
1964-02,61.8
1964-03,68.8
1964-04,70.5
1964-05,77
1964-06,73.6
1964-07,67.8
1964-08,63.9
1964-09,60.4
1964-10,61.1
1964-11,59.4
1964-12,63.4
1965-01,65.8
1965-02,62.2
1965-03,70.9
1965-04,72.2
1965-05,78.2
1965-06,75.6
1965-07,70.2
1965-08,65.3
1965-09,61.5
1965-10,62.1
1965-11,60.2
1965-12,63.5
1966-01,67.7
1966-02,63.5
1966-03,73.6
1966-04,75.5
1966-05,81.1
1966-06,79.8
1966-07,73.5
1966-08,69.7
1966-09,66.1
1966-10,66.7
1966-11,64.5
1966-12,68.8
1967-01,71.3
1967-02,66.7
1967-03,76.2
1967-04,78.4
1967-05,83.7
1967-06,81.7
1967-07,76.7
1967-08,72.2
1967-09,68.1
1967-10,68.7
1967-11,66
1967-12,69.8
1968-01,71.7
1968-02,69.6
1968-03,77.5
1968-04,79.6
1968-05,85.8
1968-06,82.6
1968-07,78.3
1968-08,74
1968-09,70.1
1968-10,70.6
1968-11,67.7
1968-12,71.1
1969-01,73.4
1969-02,69
1969-03,78.5
1969-04,80.5
1969-05,87.1
1969-06,84.5
1969-07,80.1
1969-08,76.4
1969-09,72.5
1969-10,72.3
1969-11,69
1969-12,73.4
1970-01,75
1970-02,70.7
1970-03,80.7
1970-04,82.4
1970-05,88.6
1970-06,85.9
1970-07,81.9
1970-08,78.3
1970-09,74
1970-10,74.7
1970-11,71.1
1970-12,75.1
1971-01,80.4
1971-02,75.6
1971-03,86
1971-04,87.8
1971-05,94.2
1971-06,91.3
1971-07,86.9
1971-08,83.4
1971-09,79
1971-10,80
1971-11,76.3
1971-12,80
1972-01,82.6
1972-02,79.9
1972-03,89
1972-04,90
1972-05,96.1
1972-06,93.5
1972-07,89.4
1972-08,85.5
1972-09,80.9
1972-10,81
1972-11,76.6
1972-12,80.5
1973-01,82.1
1973-02,77.3
1973-03,88.3
1973-04,89.8
1973-05,95.7
1973-06,92.4
1973-07,88.1
1973-08,83.7
1973-09,78.4
1973-10,79.1
1973-11,76
1973-12,80.2
1974-01,82.8
1974-02,77.8
1974-03,88.9
1974-04,90.2
1974-05,96.9
1974-06,94.7
1974-07,90.8
1974-08,86.7
1974-09,81.5
1974-10,81.2
1974-11,77.3
1974-12,81.3
1975-01,83.4
1975-02,78.2
1975-03,89.2
1975-04,90.3
1975-05,96.6
1975-06,93.7
1975-07,89.6
1975-08,85.8
1975-09,81.7
1975-10,82.7
1975-11,79.7
1975-12,84.3
